<<<<<<< HEAD
3 2 1 5 7 0 9 10 12 13 17 18 19 20 22 14 15 23 24 25 26 27 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 56 52 55 57 58 59 60 61 53 54 62 63 67 68 69 70 71 72 64 65 66 73 74 75 76 78 77 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98
3 2
2 1
2 5
1 0
5 7
0 9
9 10
10 12
12 13
12 14
13 17
17 18
18 19
19 20
19 22
22 23
14 15
23 24
24 25
25 26
25 27
27 29
29 30
30 31
31 32
32 33
33 34
34 35
35 36
36 37
37 38
38 39
39 40
40 41
41 42
42 43
43 44
44 45
45 46
46 47
47 48
48 49
49 50
50 51
50 59
51 56
51 52
=======
52 51 56 55 57 50 58 49 48 59 60 61 47 53 54 46 62 63 67 68 69 70 71 72 64 65 66 45 44 43 42 41 73 74 75 76 78 77 79 80 81 82 83 84 85 86 87 88 89 90 40 39 38 37 36 35 34 33 32 31 30 29 27 25 26 28 24 23 22 19 20 18 17 13 12 10 9 0 1 2 5 7 3 14 15 91 92 93 94 95 96 97 98
52 51
>>>>>>> c2c84623c9f1424f15c0968d47ec8dbb2e796a7a
52 55
52 53
51 56
51 50
55 57
57 58
50 49
50 59
49 48
48 47
59 60
60 61
60 62
47 46
53 54
46 45
62 63
62 64
63 67
67 68
68 69
69 70
69 72
70 71
72 73
64 65
65 66
45 44
44 43
43 42
42 41
41 40
73 74
74 75
75 76
75 77
76 78
77 79
79 80
80 81
81 82
82 83
83 84
84 85
85 86
86 87
87 88
88 89
89 90
90 91
40 39
39 38
38 37
37 36
36 35
35 34
34 33
33 32
32 31
31 30
30 29
29 27
27 25
25 26
25 24
26 28
24 23
23 22
22 19
19 20
19 18
18 17
17 13
13 12
12 10
12 14
10 9
9 0
0 1
1 2
2 5
2 3
5 7
14 15
91 92
92 93
93 94
94 95
95 96
96 97
97 98
